09-11 13:26:25.414 [    main] INFO | org.springframework.boot.StartupInfoLogger.logStarting:51 Starting CodegymJiraApplication using Java 17.0.16 with PID 23532 (C:\Users\ojgon\OneDrive\Documentos\gitlocal\proyectofinalmodulo5_v1\target\classes started by ojgon in C:\Users\ojgon\OneDrive\Documentos\gitlocal\proyectofinalmodulo5_v1)
09-11 13:26:25.424 [    main] DEBUG| org.springframework.boot.StartupInfoLogger.logStarting:52 Running with Spring Boot v3.0.2, Spring v6.0.4
09-11 13:26:25.424 [    main] INFO | org.springframework.boot.SpringApplication.logStartupProfileInfo:636 The following 1 profile is active: "prod"
09-11 13:26:29.439 [    main] WARN | o.h.b.i.MetadataBuilderImpl$MetadataBuildingOptionsImpl.lambda$new$1:626 HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
09-11 13:26:32.521 [    main] DEBUG| o.s.w.s.m.m.annotation.ExceptionHandlerExceptionResolver.initExceptionHandlerAdviceCache:292 ControllerAdvice beans: 3 @ExceptionHandler, 1 ResponseBodyAdvice
09-11 13:26:32.841 [    main] DEBUG| o.s.scheduling.concurrent.ExecutorConfigurationSupport.initialize:181 Initializing ExecutorService 'mailExecutor'
09-11 13:26:32.933 [    main] INFO | com.codegym.jira.ref.ReferenceService.initialize:56 init loading
09-11 13:26:33.083 [    main] DEBUG| o.s.web.servlet.handler.SimpleUrlHandlerMapping.logMappings:187 Patterns [/view/**] in 'getUrlHandlerMapping'
09-11 13:26:33.803 [    main] DEBUG| com.codegym.jira.common.internal.config.SecurityConfig.createFilteredClientRegistrationRepository:155 Manteniendo proveedor OAuth2: github
09-11 13:26:33.805 [    main] INFO | com.codegym.jira.common.internal.config.SecurityConfig.createFilteredClientRegistrationRepository:157 Deshabilitando proveedor OAuth2: facebook
09-11 13:26:33.805 [    main] DEBUG| com.codegym.jira.common.internal.config.SecurityConfig.createFilteredClientRegistrationRepository:155 Manteniendo proveedor OAuth2: google
09-11 13:26:33.805 [    main] DEBUG| com.codegym.jira.common.internal.config.SecurityConfig.createFilteredClientRegistrationRepository:155 Manteniendo proveedor OAuth2: gitlab
09-11 13:26:33.805 [    main] INFO | com.codegym.jira.common.internal.config.SecurityConfig.createFilteredClientRegistrationRepository:161 Proveedores OAuth2 habilitados: [github, google, gitlab]
09-11 13:26:34.152 [    main] INFO | org.springframework.boot.StartupInfoLogger.logStarted:57 Started CodegymJiraApplication in 9.453 seconds (process running for 15.711)
09-11 13:27:58.696 [0-exec-3] DEBUG| o.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler:527 Mapped to org.springframework.web.servlet.mvc.UrlFilenameViewController@12fbdd4
09-11 13:27:58.696 [0-exec-3] DEBUG| o.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler:527 Mapped to org.springframework.web.servlet.mvc.UrlFilenameViewController@12fbdd4
09-11 13:28:00.617 [0-exec-2] DEBUG| o.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler:527 Mapped to org.springframework.web.servlet.mvc.UrlFilenameViewController@12fbdd4
09-11 13:28:00.618 [0-exec-2] DEBUG| o.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler:527 Mapped to org.springframework.web.servlet.mvc.UrlFilenameViewController@12fbdd4
09-11 13:28:00.742 [0-exec-5] DEBUG| o.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler:527 Mapped to org.springframework.web.servlet.mvc.UrlFilenameViewController@12fbdd4
09-11 13:28:00.742 [0-exec-5] DEBUG| o.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler:527 Mapped to org.springframework.web.servlet.mvc.UrlFilenameViewController@12fbdd4
09-11 13:28:07.936 [0-exec-2] DEBUG| o.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler:527 Mapped to org.springframework.web.servlet.mvc.UrlFilenameViewController@12fbdd4
09-11 13:28:08.022 [0-exec-2] DEBUG| com.codegym.jira.common.internal.config.SecurityConfig.lambda$userDetailsService$0:57 Authenticating 'admin@gmail.com'
09-11 13:28:08.247 [0-exec-6] ERROR| com.codegym.jira.common.internal.web.UIExceptionHandler.processError:56 ERR# Exception No message available at request /static/bootstrap/css/bootstrap-select.min.css
09-11 13:28:13.512 [0-exec-4] DEBUG| o.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler:527 Mapped to org.springframework.web.servlet.mvc.UrlFilenameViewController@12fbdd4
09-11 13:28:13.513 [0-exec-4] DEBUG| o.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler:527 Mapped to org.springframework.web.servlet.mvc.UrlFilenameViewController@12fbdd4
